Report,NoisyOR_Score,Positive Bigrams,Positive Unigrams,CRSHNMBR,CRSHDATE,CRSHTIME,NTFYHOUR,ONHWY,ONSTR,ATHWY,ATSTR,HWYCLASS,LATDECDG,LONDECDG
"~UNITS 1 AND 2 WERE TRAVELING S/B ON STATE HIGHWAY 38 WHEN UNIT 1 STRUCK THE BACK OF UNIT 2. BOTH DRIVERS WERE IDENTIFIED VIA WI PHOTO DL.  DRIVER OF UNIT 1 STATED HE WAS TRAVELING S/B ON STATE HIGHWAY 38 WHEN SUDDENLY UNIT 2 SLAMMED ON HIS BRAKES AND HE COULD NOT STOP PRIOR TO STRIKING THE REAR OF UNIT 2. I ASKED THE DRIVER OF UNIT 1 IF HE HAD INSURANCE FOR HIS VEHICLE AND HE COULD NOT PROVIDE ME WITH ANY.  DRIVER OF UNIT 2 STATED HE WAS TRAVELING S/B ON STATE HIGHWAY 38 WHEN A VEHICLE THAT WAS INSIDE THE ORANGE CONSTRUCTIONS BARRELS IN THE RIGHT LANE DROVE BACK INTO HIS LANE AND HE HAD TO SLOW SUDDENLY IN ORDER TO NOT STRIKE THE VEHICLE. DRIVER OF UNIT 2 STATED HE THEN FELT HIS VEHICLE GET STRUCK FROM BEHIND.~~
",0.996476025,"['barrels in', 'the orange', 'slow suddenly']","['constructions', 'barrels', 'orange']",190710143,7/24/2019,1623,16,38,STATE ST,MM,,U STH,42.75220171,-87.82529505
"~UNIT 1 WAS TRAVELING N/B IN THE 500 BLK ON N. 6TH ST, WHEN A COLLISION OCCURRED WITH UNIT 2 WHO WAS TRAVELING N/B IN THE 500 BLK OF N. 6TH ST AND STOPPED FOR THE LIGHT AT  6TH AND WISCONSIN AVE. UNIT 1 STATED THAT SHE WAS ATTEMPTED TO CHANGE LANES TO TURN LEFT ON W. WISCONSIN AVE AT 6TH ST BECAUSE THE N/B LANE ON N. 6TH ST AT W. WISCONSIN AVE WAS CLOSED FOR SOME ROAD REPAIRS.  UNIT 1 STATED THAT UNIT 2 CAME IN HER LANE OF TRAVEL WHICH CAUSED THE COLLISION.                                                        UNIT 2 STATED HE WAS STOPPED AT THE LIGHT WAITING TO TURN LEFT ON TO W. WISCONSIN AVE. UNIT 2 STATED HE WAS PARTIALLY IN THE LEFT TURN LANE AND LANE 1 BECAUSE THE TURN LANE WAS PARTIALLY BLOCKED BY A SNOW BANK.  NO OTHER INDEPENDENT WITNESSES OBSERVED THIS CRASH.~~
",0.996470958,"['road repairs', 'repairs unit', 'was closed', 'closed for', 'lane was', 'some road']",['closed'],190306339,3/5/2019,1610,16,,N 6TH ST,,W WISCONSIN AVE,U CITY,43.03842523,-87.91897435
"~VIA: RADIO, CRASH SB I43 KEEFE/ATKINSON OFF RAMP 08/30/19 0310  SQUAD ARRIVED ON SCENE AND FOUND A ONE-VEHICLE PERSONAL-INJURY CRASH. UNIT 1 WAS SITTING IN THE EXIT RAMP GORE CRASHED INTO THE CRASH ATTENUATING SAND BARRELS. OPERATOR OF U1 WAS STILL INSIDE U1.  OPERATOR OF U1 STATED HE WAS TALKING TO HIS GIRLFRIEND ON HIS PHONE WHEN HE MUST HAVE HIT THE BARRELS.  NO WITNESSES.   UPON INVESTIGATION: U1 WAS TRAVELING IN LANE 3 OF SB I43 AT AN UNKNOWN SPEED. U1 TOOK HIS ATTENTION AWAY FROM DRIVING TO TALK ON HIS SMARTPHONE. U1 VEERED OFF THE ROADWAY TO THE RIGHT, ENTERED THE EXIT RAMP GORE, AND STRUCK THE SAND BARRELS, CAUSING THE REPORTED DAMAGE.  INJURED: U1 OPERATOR BIT TONGUE  FIRE/MEDICAL UNITS: MFD, MEDACARE 274  ASSISTING UNITS: SQUAD #48 DEPUTY B PIONTKOWSKI  GOVERNMENT PROPERTY STRUCK: CRASH ATTENUATING SAND BARRELS  TOW: PRAIRIELAND TOWING NO HAZMAT.~~X
",0.996461228,['the barrels'],"['barrels', 'barrels', 'barrels', 'barrels']",190809271,8/30/2019,309,3,,RAMP IH 43 TO N 8TH ST,43,,U CITY,43.08619647,-87.92177573
"~VIA: RADIO  I-94 S/B AT THE STH 119 COLLECTOR OFF RAMP  02/07/2019 AT 0034 HOURS  SQUAD ARRIVED ON SCENE AND FOUND A SINGLE VEHICLE PI CRASH.  UNIT #1 WAS BLOCKING THE EXIT LANE FOR THE STH 119 COLLECTOR RAMP AND HAD SUSTAINED HEAVY DAMAGE.    OPERATOR OF UNIT #1 STATED AT THE SCENE HE WAS S/B ON I-94 HAVING COME FROM E/B I-43.  OPERATOR STATED HE HAD FALLEN ASLEEP AT THE WHEEL AND WHEN HE WOKE UP THE CRASH HAD OCCURRED.  DRIVER STATED THAT HE HAD STARTED TAKING NEW PRESCRIPTION MEDICATIONS THE FRIDAY BEFORE THE CRASH AND HAD TAKEN THEM AT 8:00PM THAT EVENING.   NO WITNESSES.   UPON INVESTIGATION: I CONCLUDED THAT THE DRIVER WAS TRAVELING AT A HIGH RATE OF SPEED DUE TO THE DAMAGE DONE TO THE CRASH ATTENUATOR THAT WAS STRUCK.  THE DRIVER HAD FALLEN ASLEEP AND FAILED TO MAINTAIN CONTROL OF HIS VEHICLE.  HE THEN STRUCK THE CRASH ATTENUATOR CAUSING SEVERE DAMAGE TO THE FRONT OF HIS VEHICLE.  DRIVER HAD BEEN TAKING MEDICATIONS FOR SEVERAL HEALTH ISSUES.  DRIVER DISPLAYED NYSTAGMUS DURING THE HGN SFST.  DRIVER WAS TAKEN INTO CUSTODY FOR OWI-1ST OFFENSE (DRUGS).  DRIVER WAS CITED FOR OWI, INATTENTIVE DRIVING, UNREASONABLE AND IMPRUDENT SPEED, AND FAILURE TO MAINTAIN CONTROL OF M/V.  INJURED: ABRAN GONZALEZ, M/W, DOB 10/08/1995.  STATED HE WAS HAVING PAIN IN HIS ARM.  FIRE/MEDICAL UNITS:  MFD ENGINE 7 AND BELL #450  ASSISTING UNITS: SQUAD #38, DEPUTY WELLS  GOVERNMENT PROPERTY STRUCK: CRASH ATTENUATOR  TOW: RAY'S TOWING  NO HAZMAT.~~X
",0.99645191,"['attenuator that', 'crash attenuator', 'attenuator causing']","['attenuator', 'attenuator', 'attenuator']",190211360,2/7/2019,34,0,,COLLECTOR/DISTRIBUTOR  IH 41 TO STH 119,119,,U CITY,42.95460715,-87.93523194
"~VIA: RADIO, CRASH EAST TO THE WEST IN THE ZOO INTERCHANGE ON EASTBOUND I-94 ON WEDNESDAY, JANUARY 9, 2019  I ARRIVED ON SCENE AND FOUND A SINGLE CAR PROPERTY DAMAGE ONLY CRASH. THE SOLE UNIT WAS IN THE RIGHT DISTRESS LANE WITH AND ANOTHER VEHICLE WAS LOCATED BEHIND IT AND WAS OCCUPIED BY THE TWO EYE WITNESSES AND THE OPERATOR OF UNIT 1. LANE THREE WAS CLOSED DUE TO A LARGE AMOUNT OF DEBRIS.   OPERATOR OF UNIT 1 STATED THAT HE WAS DRIVING IN LANE 1 WHEN A BLACK SEDAN FROM BEHIND PASSED ON THE LEFT AND THEN CUT HIM OFF. HE THEN SWERVED TO AVOID HIT THE VEHICLE AND ENDED UP HITTING THE RIGHT CONCRETE WALL.   WITNESS #1 STATED THAT SHE WAS TRAVELING BEHIND THE TWO VEHICLES WHEN SHE SAW THE BLACK SEDAN PASS THE WHITE TOYOTA IN THE LEFT DISTRESS LANE AND CUT HIM OFF. THE WHITE TOYOTA SWERVED AND HIT THE RIGHT WALL, WHILE THE BLACK SEDAN ENDED UP MOVING OVER INTO LANE 3 AND EXITED AT 84TH ST.   WITNESS #2 STATED THAT HE WAS TRAVELING EASTBOUND WHEN HE SAW A BLUE SEDAN TRAVELING IN THE SHOULD TO PASS THE WHITE CAR THAT WAS IN THE LEFT LANE AND CUT THE WHITE CAR OFF.   UPON INVESTIGATION: UNIT 1 WAS TRAVELING EASTBOUND ON I-94 IN LANE 1 WHEN A DARK COLORED SEDAN CUT HIM OFF CAUSING UNIT 1 TO LOOSE CONTROL AND CRASH INTO THE RIGHT CONCRETE WALL CAUSING DAMAGE TO BOTH THE VEHICLE AND THE WALL.   INJURED: UNIT 1, STATED THAT HIS RIGHT EYE HURT BUT REFUSED MEDICAL TRANSPORTATION.   FIRE/ MEDICAL UNITS: MILWAUKEE FIRE ENGINE #35  ASSISTING UNITS: SQ 73 AND SQ 45   GOVERNMENT PROPETY STRUCK: 3 FOOT BLACK MARK ON RIGHT CONCRETE BARRIER WALL  TOW: N&S TOWING  NO HAZMAT~~X, 74
",0.996383772,"['the zoo', 'zoo interchange', 'closed due', 'was closed', 'at 84th']","['zoo', 'closed']",190102574,1/9/2019,2137,21,94,,,RAMP IH 41 TO IH 94,U IH,43.02782146,-88.02894626
"~UNIT 1 WAS TRAVELING WITHIN THE MARSHFIELD WILDWOOD PARK AND ZOO.  UNIT 1 WAS ON A ONE WAY ROADWAY GOING AROUND AND THROUGH THE ZOO AREA AND INTO A WOODED NATURE PRESERVE.  THE SPEED LIMIT FOR THE ENTIRE ZOO DRIVE ROADWAY IS POSTED AS 15MPH.  UNIT 1 WAS TRAVELING EAST ON HARDWOOD DR. WITHIN THE WOODED PORTION(AFTER THE WOLF ENCLOSURE) AND NEARLY AT THE SMALL BRIDGE THAT GOES OVER A SMALL CREEK.  AS DRIVER 1 WAS MAKING A SLIGHT CURVE TO THE LEFT DRIVER 1 ATTEMPTED TO SLOW DOWN FOR THE CURVE AS SHE WAS TRAVELING TOO FAST, HIT A PATCH OF ICE AND LEFT THE ROADWAY ON THE RIGHT SHOULDER AND DROVE INTO A TREE CAUSING EXTENSIVE DAMAGE TO VEHICLE AS WELL AS PASSENGER/S HAVING INJURIES.  DUE TO THE EXTENT OF THE DAMAGE, THE DURATION OF SKID MARKS ON THE ROADWAY OF A MEASURED 58 FEET, AND THE NORMAL SPEED POSTED AS 15MPH IT WAS VERY APPARENT THAT DRIVER 1 WAS TRAVELING WELL ABOVE THE SPEED LIMIT AS AT THAT SPEED A CRASH WOULD MOST LIKELY NOT HAVE OCCURRED AND MOST ASSUREDLY NOT WITH THE EXTENT OF DAMAGES.  DRIVER 1 DID ADMIT ON SCENE THAT SHE WAS IN A HURRY AS SHE WAS LATE FOR WORK.  PASSENGER IN THE #3 POSITION STATED TO OFFICER THAT DRIVER WAS DRIVING TOO FAST FOR THE ROADWAY.~~
",0.99636429,"['zoo unit', 'the zoo', 'the normal']","['zoo', 'zoo', 'zoo']",190104081,1/13/2019,1114,11,,HARDWOOD DR,,ZOO DR,U CITY,,
"~""I WAS DISPATCHED TO A PROPERTY DAMAGE CRASH INVOLVING TWO SEMI TRUCKS THAT OCCURRED SOUTHBOUND I 41 AT W RYAN ROAD  I ARRIVED ON SCENE AND OBSERVED UNIT 1 AND UNIT 2 IN LANE 4.  I ADVISED BOTH OPERATORS TO RELOCATE TO THE DISTRESS LANE JUST NORTH OF HWY G.  I OBSERVED DAMAGE TO UNIT 1 DRIVERS SIDE MIRROR AND SIDE.  I OBSERVED DAMAGE TO UNIT 2 PASSENGER SIDE MIRROR.  I SPOKE WITH THE OPERATOR OF UNIT 1 WHO STATED """"I WAS GOING THROUGH CONSTRUCTION.  I WAS IN THE FAR RIGHT LANE ABOUT 54-55.  I STARTED OVER TAKING HIM AT ABOUT THE CURVE. AS WE CAME OUT OF THE CURVE, WE'RE SIDE BY SIDE. THE LANES GO BACK STRAIGHT AND THEN I HEAR BOOM AND MY MIRROR IS AGAINST MY WINDOW.  I SPOKE WITH THE OPERATOR OF UNIT 2 WHO STATED """"I WAS IN THE MIDDLE LANE.  HE WHIZZED BY ME AND THEN I HEARD """"BOOM"""" AND I'M LIKE DID HE JUST HIT ME.""""  UPON INVESTIGATION:  UNIT 1 AND UNIT 2 WERE TRAVELING SOUTHBOUND ON I 41 AT W RYAN ROAD.  UNIT 1 WAS IN LANE 4 AND UNIT 2 WAS IN LANE 3 WHEN BOTH MIRRORS COLLIDED.  THE MIRROR TO UNIT 1 WAS SCRATCHED AND PUSHED INWARD AS IF TO STRIKE AN OBJECT WHILE MOVING FORWARD.   NO INJURIES WERE REPORTED AND BOTH VEHICLES WERE REMOVED BY THEIR OPERATORS.  GOVERNMENT PROPERTY DAMAGE:  NONE.""~~X, 52
",0.996355964,"['through construction', 'construction i', 'ryan road', 'w ryan']",['construction'],190307640,3/14/2019,1252,13,41,IH 94,,RAMP STH 100 TO IH 41,U CITY,42.86733858,-87.93757008
"~A CITY UTILITY VEHICLE, WAS STOPPED ON CALHOUN RD NORTH OF GEBHARDT RD WITH FLASHING YELLOW LIGHTS ACTIVATED AND ORANGE CONES ON THE ROADWAY. UNIT #2 DROVE NORTHBOUND ON CALHOUN RD AND STOPPED BEHIND THE WORK VEHICLE / CONES. UNIT #1 WAS BEHIND UNIT #2. UNIT #1 BRAKED BUT WAS UNABLE TO STOP. UNIT #1 COLLIDED WITH UNIT #2.~~B19024082
",0.996345531,"['the work', 'cones unit', 'and orange', 'cones on', 'orange cones']","['cones', 'cones', 'orange']",190800158,8/1/2019,915,9,,CALHOUN RD,,GEBHARDT RD,U CITY,43.05380073,-88.12634147
"~SQUAD 31 ARRIVED ON SCENE AND FOUND A VEHICLE CRASHED WITH THE IMPACT ATTENUATOR  OPERATOR OF UNIT 1 STATED THAT HE WAS IN THE RIGHT LANE AND DOESN'T REMEMBER SEEING ANYTHING IN FRONT. HE FURTHER STATED THE ONLY THING HE REMEMBERS WAS THE IMPACT.  WITNESS 1 STATED SHE WAS DRIVING AT 80 MPH IN THE LEFT LANE WHEN THE VEHICLE FLEW BY HER. SHE ALSO STATED SHE THINKS HE WAS DOING 90 MPH 0R 100 MPH WHEN SHE GOT PASSED. THE WITNESS FURTHER STATED THAT SHE NOTICED THE VEHICLE WEAVING OUT OF HIS LANE.  WITNESS 2 STATED THE VEHICLE BLEW BY HIM AND LOST CONTROL OF THE VEHICLE HITTING THE IMPACT ATTENUATOR.   UPON INVESTIGATION UNIT 1 WAS TRAVELING N I-43 /EASTBOUND THROUGH THE HALE INTERCHANGE IN LANE 2. UNIT 1 WAS TRAVELING AT A HIGH RATED SPEED WHEN HE LOST CONTROL OF THE VEHICLE AND STRUCK THE IMPACT ATTENUATOR.  UNIT 1  HAD DISABLING DAMAGE  ASSISTING SQUADS: 40, 12  MEDICAL UNITS GREENFIELD FIRE ENGINE 2   GOVERNMENT PROPERTY STRUCK: IMPACT ATTENUATOR  TOWS: ALL CITY TOWING~~
",0.996336985,"['attenuator unit', 'impact attenuator', 'struck impact', 'tows all', 'the hale', 'hale interchange']","['attenuator', 'attenuator', 'attenuator', 'attenuator']",190810706,8/31/2019,1133,11,43,,45,,U IH,42.96157117,-88.03860899
"~2 CAR PROPERTY DAMAGE ONLY CRASH AT THE ENTRANCE TO THE MILWAUKEE COUNTY ZOO IN LANE 5  UNIT 1 OPERATOR STATED THAT SHE WAS TRYING TO MOVE INTO THE OTHER LANE AND STARTED TO BACK UP.  SHE STATED THAT SHE DIDN'T SEE THE OTHER CAR BUT HEARD THE HORN BUT THAT WAS WHEN SHE HIT IT.  UNIT 2 OPERATOR STATED THAT HE WAS IN THE FAR RIGHT LANE AND THAT THE OTHER CAR WAS IN LANE TO THE LEFT OF HIM.  HE THEN INFORMED THAT THE PRESSED ON HIS HORN BUT THE OTHER CAR STILL KEPT BACKING UP AND THEN HIT HIM.  UPON INVESTIGATION, BOTH UNITS WERE  AT THE ENTRANCE TO THE MILWAUKEE COUNTY ZOO IN LANE 5.  UNIT 1 WAS IN LANE 4 AND UNIT 2 WAS IN LANE 5.  AT THE TIME, BOTH OF THE UNITS WERE AT THE ENTRANCE TO THE ZOO AND WERE WAITING TO PAY TO GET INTO THE MAIN PARKING LOT.  THE UNIT 1 OPERATOR ATTEMPTED TO REVERSE SO SHE COULD GET INTO LANE 5 BUT DID NOT SEE UNIT 2, WHO WAS ALREADY IN LANE 5.  UNIT 2 ATTEMPTED TO GET UNIT 1 TO STOP BACKING BY USING HIS HORN BUT DUE TO THE UNIT 1 OPERATOR NOT SEEING UNIT 2, UNIT 1 STRUCK UNIT 2 THEREFORE CAUSING THE CRASH.  NO INJURIES  NO UNITS TOWED  UNIT 1 OPERATOR CITED FOR: #BE026220 OPERATE W/O VALID LICENSE #BE026221 OPERATE MOTOR VEHICLE W/O INSURANCE~~X
",0.996322014,"['zoo and', 'the zoo']","['zoo', 'zoo', 'zoo']",190910072,9/7/2019,1346,13,,PARKING LOT,18,W BLUEMOUND RD,U CITY,43.03364039,-88.03575311
"~UNIT 1 WAS TRAVELING WEST ON I94 IN THE LEFT LANE. AN UNKNOWN NON-CONTACT VEHICLE SUDDENLY SWERVED FROM THE RIGHT LANE INTO THE LEFT LANE. DRIVER OF UNIT 1 SWERVED TO THE LEFT INTO THE EMERGENCY LANE TO AVOID COLLISION AND THEN SWERVED RIGHT TO AVOID HITTING CONSTRUCTION BARRELS. UNIT 1 THEN SPUN OUT, AND CROSSED THE HIGHWAY. THE DRIVER SIDE OF UNIT 1 STRUCK THE RIGHT GUARDRAIL. UNIT 1 THEN TURNED THE VEHICLE AROUND AND STOPPED IN THE MEDIAN LANE~~
",0.996320302,"['barrels unit', 'construction barrels']","['construction', 'barrels']",190700994,7/6/2019,1244,12,94,,,WATERVILLE RD,U IH,43.05624942,-88.42450356
"~ON LISTED DATE AND TIME I RESPONDED TO A ONE VEHICLE ACCIDENT ON NAVAJO TRL NEAR ALGONQUIN TRL. IN THE VILLAGE OF HOBART. BEFORE OPERATING HIS VEHICLE UNIT 1 DRIVER WAS STUNG BY A BEE ON HIS UPPER LEFT EYE LID. UNIT 1 DRIVER BEGAN TO DRIVE UNIT 1. UNIT 1 DRIVER PULLED OVER ON NAVAJO TRL. TO LET THE BEE STING SUBSIDE. UNIT 1 DRIVER BEGAN MOVING AGAIN. UNIT 1 DRIVER HAD A MEDICAL REACTION TO THE BEE STING WHICH CAUSED HIM TO DRIVE ERRATICALLY. UNIT 1 WENT INTO THE SOUTH SIDE DITCH GETTING THE TRUCK STUCK. THIS PART OF NAVAJO TRL. IS UNDER CONSTRUCTION AND THE CURB EDGES ON BOTH SIDES HAVE BEEN CUT AWAY LEAVING APPROXIMATELY 6 INCHES OF ROUGH ASPHALT BEFORE DROPPING TO GRAVEL. UNIT 1 RECEIVED MINOR VISIBLE DAMAGE TO THE FRONT PASSENGER TIRE AND REAR PASSENGER FENDER. AFTER DETAIL SHOP REMOVED UNIT 1 IT WAS CLEAR THERE WAS UNDER CARRIAGE DAMAGE TO THE PASSENGER REAR AXEL AND WHEEL WELL THAT WAS NOT VISIBLE. THIS CRASH DID NOT CAUSE INJURY AS THE REASON FOR MEDICAL TRANSPORT OCCURRED BEFORE DRIVING. UNIT 1 WAS TRAILERING A NEW CHILTON UTILITY TRAILER. THE TRAILER WAS EMPTY AND UNDAMAGED. THE TRAILER WAS APPROXIMATELY 15 FT LONG AND 6 FT WIDE. THE TRAILER WAS MADE OF ALUMINUM AND WOOD. THE TRAILER WAS LEFT OUT OF THE ACCIDENT REPORT AS IT WAS UNDAMAGED AND DID NOT ATTRIBUTE TO THE CRASH. UNIT 1 DRIVER WAS TRANSPORTED TO BELLIN BY BROWN COUNTY RESCUE.~~
",0.99631319,"['under construction', 'construction and', 'is under']","['construction', 'asphalt']",190706292,7/18/2019,1055,10,,NAVAJO TRL,,ALGONQUIN TRL,U CITY,44.55507915,-88.12809132
"~U1 WAS TRAVELING NORTH ON HWY 151. THE INSIDE LANE WAS CLOSED DUE TO A CRASH NORTH OF CLAY HOLLOW ROAD. THE LANE WAS CLOSED BY THE DICKEYVILLE FIRE DEPARTMENT. THE DICKEYVILLE FIRE DEPARTMENT HAD THE LANE CLOSED USING FIRE TRUCKS WITH EMERGENCY LIGHTS ACTIVATED. MEMBERS OF THE FIRE DEPARTMENT WERE WEARING TURNOUT GEAR AND REFLECTIVE TRAFFIC VESTS. THE DRIVER OF U1 FAILED TO MOVE TO THE LEFT LANE TO AVOID MEMBERS OF THE DICKEYVILLE FIRE DEPARTMENT. U1 WAS WITHIN APPROXIMATELY 15 FEET OF STRIKING THE FIREFIGHTERS. U1 LEFT THE ROADWAY CRASHING INTO TWO TRAFFIC SIGNS. MEMBERS OF THE FIRE DEPARTMENT TOLD THE DRIVER OF U1 TO REMAIN ON SCENE UNTIL THE SHERIFFS OFFICE RESPONDED TO INVESTIGATE THE CRASH. MEMBERS OF THE FIRE DEPARTMENT WERE ABLE TO TAKE PHOTOS OF THE LICENSE PLATE, THE DRIVER, AND VEHICLE. THE DRIVER OF U1 RETURNED TO HIS VEHICLE AND LEFT THE SCENE OF THE CRASH. THE DRIVER OF U1 NEVER NOTIFIED LAW ENFORCEMENT OF THE CRASH.~~
",0.996305454,"['lane closed', 'closed due', 'was closed', 'closed by', 'lane was']","['closed', 'closed', 'closed']",190105118,1/18/2019,1220,12,151,,,CLAY HOLLOW RD,R STH,42.6573718,-90.57125707
"~I RESPONDED TO A CRASH THAT OCCURRED AT THE SOUTH ENTRANCE TO THE MILWAUKEE COUNTY ZOO. THIS ENTRANCE IS FOR EMPLOYEES AND CONTRACTORS. IT IS AT THE END OF S. 100TH STREET NORTH OF SCHLINGER AVENUE. UPON ARRIVAL THE VEHICLE INVOLVED WAS NOT ON SCENE.  I SPOKE WITH THE WITNESS WHO STATED THAT SHE OBSERVED THE SEMI ATTEMPTING TO TURN AROUND AND EXIT. SHE STATED THAT THE SEMI WAS HAVING DIFFICULTY TURNING AROUND AND WHILE EXITING STRUCK THE FENCE ON THE NORTH SIDE OF THE ROAD. SHE SAID THE SEMI WAS BEING DRIVEN BY A BLACK MALE AND THAT WESTERN EXPRESS WAS ON THE SIDE OF THE TRACTOR.  I GOT IN CONTACT WITH THE OPERATOR OF UNIT 1. HE STATED THAT HE DID NOT HIT THE FENCE. HE SAID THAT HE HAD TO TURN AROUND BECAUSE THE ROAD ENDED. HE SAID THAT IT WAS A TIGHT FIT AND THAT HE PULLED IN HIS MIRROR SO HE WOULDN'T HIT THE FENCE.  UPON INVESTIGATION UNIT 1 WAS EXITING THE ZOO PROPERTY AFTER COMING TO A DEAD END AND TURNING AROUND. THE LEFT SIDE OF UNIT 1 STRUCK THE FENCE ON THE NORTH SIDE OF THE ROAD. THERE WAS NO DAMAGE REPORTED TO UNIT 1. THE COST OF THE DAMAGE TO THE FENCE WAS ESTIMATED AT $1000.~~
",0.996220269,"['schlinger avenue', 'the zoo']","['zoo', 'zoo', 'schlinger']",190908630,9/23/2019,946,9,,S 100TH ST,,W BUNGALOW PKWY,U CITY,43.02532511,-88.03720836
"~THE DETAIL IN THE DIAGRAM IS GREATLY LIMITED BY THE DRAWING PROGRAM.  I WASN'T ABLE TO UPLOAD A SATELLITE IMAGE FROM GOOGLE MAPS BECAUSE THEY WERE NOT ACCURATE.  THE MAP HASN'T BEEN UPDATED SINCE THE INTERSECTION HAS BEEN CHANGED WITH THE CONSTRUCTION OF THE NEW KWIK TRIP STORE.  VEHICLE 1 HAD JUST TURNED OFF OF E/B US 12 AND WAS TRAVELING N/B ON CTH A.  VEHICLE 2 WAS STOPPED IN THE KWIK TRIP PARKING LOT.  THE DRIVER OF VEHICLE 2 SAID THE RIGHT TURN SIGNAL OF VEHICLE 1 WAS ON. MELBYE THOUGHT THE CAR WAS TURNING INTO THE KWIK TRIP PARKING LOT AND ATTEMPTED TO MAKE A LEFT TURN ONTO SOUTHBOUND CTH A.  VEHICLE 1 DIDN'T TURN AND CONTINUED NORTHBOUND ON CTH A.  THE VEHICLES COLLIDED IN THE INTERSECTION OF CTH A, CHESTNUT ST., AND THE ENTRANCE FOR THE PARKING LOT.  THE COLLISION WAS MORE FRONT TO FRONT THAN IT WAS A SIDESWIPE.   THE NORTHBOUND LANE OF CTH A WAS BLOCKED BY VEHICLE 2 UNTIL IT WAS TOWED.  VEHICLE 1 WAS TOWED AS A PRECAUTION BECAUSE THE DAMAGE WAS NEAR THE AIRBAG SENSOR AND THE AIR BAG DASH LIGHT WAS BLINKING (WE DIDN'T WANT AN ACCIDENTAL DEPLOYMENT WHILE SOMEONE WAS DRIVING).     THE DRIVER OF VEHICLE 2 HAD A LEFT ARM INJURY AND WAS TAKEN TO THE HOSPITAL BY PERSONAL VEHICLE.  I WASN'T ABLE TO SELECT MORE THAN ONE CHOICE FOR THE AIR BAG DEPLOYMENT FOR VEHICLE 2.  THE SIDE AND CURTAIN AIR BAGS ALSO DEPLOYED.~~
",0.99620226,"['construction of', 'the construction']","['construction', 'greatly']",190603700,6/3/2019,1123,11,A,,,CHESTNUT ST,R CITY,44.30481741,-90.84565618
"~BOTH UNITS WERE NB ON E ST PAUL AVE. IN THE INTERSECTION OF E ST PAUL AVE/NW BARSTOW THE NB LANES SHIFT TO THE LEFT AS THEY TURN TO ONE WAY TRAFFIC. UNIT 1 WAS IN THE LEFT LANE APPROACHING THE INTERSECTION WITH UNIT 2 IN THE RIGHT LANE. AS BOTH UNITS CONTINUED THROUGH THE INTERSECTION UNIT 1 FAILED TO STAY IN HIS LANE AND SHIFT TO THE LEFT. UNIT 1 PASS MIRROR STRUCK UNIT 2 IN THE DRIVERS DOOR. UNIT 1 INDICATED THAT HE DID NOT KNOW THAT THE LANES SHIFTED AND WAS NOT FAMILIAR WITH THE AREA.~~
",0.996182354,"['lanes shifted', 'lanes shift', 'shift to', 'to one']",[],190202681,2/2/2019,1940,20,,E ST PAUL AVE,,NW BARSTOW ST,U CITY,43.0146072,-88.23133791
"~UNIT 1 WAS TRAVELING EASTBOUND ON W ABBOTT AVE. UNIT 1 CONTINUED EASTBOUND ON W ABBOTT AVE TO CROSS S 108TH ST. UNIT 1 WAS PROCEEDING THROUGH THE INTERSECTION TO MAKE A LEFT TURN ONTO S 108TH ST. DUE TO THE CONSTRUCTION IN THE MEDIAN, UNIT 1 STATED HE GAVE IT TOO MUCH GAS TO GET OVER A BUMP IN THE MEDIAN. THIS CAUSED HIM TO TRAVEL TOO FAST ACROSS THE ROAD WAY AND STRIKE A METAL POLE. KNOCKING THE POLE DOWN. UNIT 1 THEN PROCEEDED INTO A NEAR BY GAS STATION TO WAIT FOR OFFICERS ARRIVAL.~~
",0.996168047,"['the construction', 'construction in', 'abbott ave', 'w abbott']",['construction'],190908150,9/25/2019,2223,22,45,S 108TH ST,,W ABBOTT AVE,U STH,42.94941769,-88.04812295
"~DEF. WAS IDENTIFIED WITH HIS SOUTH DAKOTA DL. DEF. WAS ALONE AND COOPERATIVE. DEF. STATED THAT HIS GPS UNIT NAVIGATED HIM INTO A SMALL RESIDENTIAL NEIGHBORHOOD. EVENTUALLY HE WAS DIRECTED TO DRIVE E/B IN THE 7600 BLOCK OF WARREN AVE. HE CAME TO A STOP FOR THE STOP SIGN AT WAUWATOSA AVE. AS HE EXECUTED A S/B TURN (RIGHT TURN) ONTO WAUWATOSA AVE THE REAR/PASSENGER SIDE OF HIS TRAILER STRUCK A LIGHT POLE. THE REAR/PASSENGER TIRES ALSO STRUCK A CONCRETE CONSTRUCTION BARRIER CAUSING THE REAR/PASSENGER TIRES TO DEFLATE. THE LIGHT POLE WAS FOUND LYING NEXT TO THE CURB LINE WITH THE BASE OF THE POLE TO THE NORTH AND THE TOP OF THE POLE TO THE SOUTH. UNIT 1 WAS ESCORTED TO THE 8100 BLOCK OF MILWAUKEE AVE. TO WAIT FOR A REPAIR TRUCK.~~
",0.996137802,"['concrete construction', 'construction barrier', 'directed to', 'escorted to']",['construction'],190910893,9/20/2019,1912,19,,WARREN AVE,181,WAUWATOSA AVE,U CITY,43.05399638,-88.00755087
